id,actual,pred
32434711,250.0,151.975
38386117,125.0,166.753
39551462,350.0,374.889
7919372,80.0,94.964
21219737,60.0,65.481
31852788,149.0,110.083
34366162,128.0,112.184
21034242,199.0,273.019
30819021,150.0,245.064
38674685,249.0,262.502
33902619,81.0,75.681
23270879,100.0,74.94
21822611,100.0,92.609
22410359,80.0,70.244
7452390,75.0,87.178
20616888,48.0,48.045
33957038,90.0,71.173
21471540,25.0,57.655
4170796,131.0,143.253
31032487,18.0,31.703
16430924,137.0,152.602
39198133,349.0,235.201
37352891,79.0,63.068
24206044,195.0,148.116
28787365,53.0,57.788
36735569,48.0,66.429
38547653,65.0,81.929
29676417,39.0,58.648
32857378,90.0,106.347
39560637,85.0,71.946
26897811,82.0,146.097
6260442,322.0,227.476
40158014,75.0,91.778
29994325,400.0,208.471
287481,120.0,152.367
12747434,40.0,48.472
39130667,194.0,234.778
38237586,149.0,161.022
32661291,275.0,122.187
23120062,95.0,149.088
24246039,153.0,244.416
894015,107.0,165.35
21864653,50.0,59.523
38505498,375.0,302.524
7411421,109.0,251.166
9489073,111.0,155.647
33884349,35.0,57.678
1332612,52.0,79.691
39755361,299.0,224.132
19348689,125.0,159.518
35373350,250.0,131.033
22453527,150.0,132.975
5414471,129.0,136.036
33294626,250.0,250.519
37290394,275.0,371.928
35839810,50.0,52.695
27759146,62.0,75.823
27236170,135.0,110.806
39447600,52.0,72.798
21698180,37.0,62.386
23761707,47.0,56.588
21204708,142.0,171.198
29874869,55.0,80.125
24622596,56.0,112.847
39299540,220.0,234.128
30731304,60.0,117.254
9574953,200.0,169.429
30369494,69.0,52.21
37763951,350.0,255.878
38900328,350.0,278.144
20153406,69.0,150.287
23727923,265.0,174.106
33495663,134.0,204.181
28422482,40.0,76.043
30126274,99.0,142.643
9407719,99.0,144.73
36594145,299.0,199.24
32697647,135.0,185.718
17682843,85.0,49.889
36906373,30.0,30.671
34367165,240.0,103.345
8269681,75.0,66.041
31294112,140.0,200.35
33772218,240.0,232.548
7254952,175.0,298.692
22309943,59.0,63.341
34651745,100.0,87.738
19323884,150.0,191.191
39313386,45.0,64.443
26182774,125.0,86.396
35461373,47.0,46.96
38699973,50.0,52.312
37202760,65.0,66.105
31894643,110.0,136.326
11574785,95.0,83.518
23148972,110.0,118.592
32667711,182.0,188.136
4399721,50.0,66.092
26929793,146.0,183.34
17224797,160.0,151.696
2554749,109.0,274.97
20516112,89.0,76.277
1808497,75.0,58.851
34683256,80.0,102.621
38879682,195.0,162.188
31184876,240.0,250.31
15648008,160.0,176.543
2927005,200.0,207.69
38906302,65.0,68.677
36139701,69.0,80.064
33215991,73.0,89.545
20323803,90.0,97.998
18737220,59.0,51.921
33580907,425.0,150.837
25813280,70.0,58.727
28126530,219.0,203.137
37842610,55.0,59.367
28081224,60.0,77.375
594020,55.0,62.414
8392929,35.0,56.794
30876198,53.0,79.577
26303788,59.0,64.249
16974,225.0,285.888
21577856,250.0,273.674
30089810,199.0,115.327
25895519,52.0,40.444
29135220,180.0,137.679
34600024,155.0,181.086
20235738,92.0,91.996
22251910,190.0,155.985
10983426,140.0,128.972
25512049,160.0,125.907
4730371,33.0,74.758
11420840,65.0,68.743
36562170,150.0,147.282
728493,70.0,173.324
24608893,89.0,54.75
29595432,25.0,38.988
28139041,190.0,181.114
18812330,64.0,79.022
17617905,75.0,113.398
30296168,35.0,78.358
7462019,125.0,154.167
29505792,120.0,190.877
39747440,194.0,204.42
25033384,150.0,116.709
10038823,220.0,278.958
33009,195.0,150.34
29383019,85.0,81.006
4572174,75.0,73.898
26960958,80.0,79.994
28369552,98.0,147.637
25798699,160.0,180.005
11305815,140.0,132.917
17270768,160.0,170.563
27192074,60.0,58.885
13980920,380.0,219.584
18054268,300.0,274.427
30321542,190.0,238.415
23416448,80.0,67.732
37630175,80.0,120.896
31994,76.0,74.522
19768107,100.0,100.508
30939405,235.0,160.512
19363931,87.0,114.473
34169778,55.0,61.109
39054711,175.0,179.485
12110663,82.0,90.84
33310325,250.0,173.935
38779829,250.0,228.516
29455932,47.0,61.353
33995769,190.0,153.158
39253052,100.0,85.428
9824042,69.0,118.288
29012098,40.0,60.828
13192379,40.0,62.251
32844370,169.0,174.687
36476256,70.0,58.787
38087804,80.0,106.055
32568567,236.0,205.903
22075971,57.0,72.457
25666271,99.0,98.962
25725858,75.0,81.796
33973347,90.0,85.363
21344179,160.0,173.659
22985840,65.0,63.686
30319831,80.0,74.41
30274568,80.0,105.062
10634636,60.0,64.481
72265,59.0,70.899
39650329,130.0,155.487
874683,62.0,51.423
20947437,168.0,214.404
8615062,239.0,205.928
23014432,150.0,165.428
296361,55.0,63.394
24201129,250.0,200.129
34678944,85.0,108.054
32408593,62.0,70.193
17106705,160.0,137.837
3840541,150.0,264.845
2635078,235.0,220.103
7547536,210.0,205.851
11966139,225.0,170.239
457829,210.0,184.701
38839128,250.0,165.907
34568097,150.0,191.387
27657263,65.0,65.125
30594607,160.0,79.796
30975764,230.0,220.975
33378475,50.0,66.556
22226558,150.0,182.806
31055896,75.0,58.98
38626897,200.0,228.833
33766115,170.0,195.719
26632917,125.0,138.293
16454200,35.0,53.014
36729458,145.0,240.375
36801374,55.0,67.727
15395942,79.0,73.689
33845393,65.0,55.719
12902256,72.0,104.207
21781515,110.0,71.835
2071420,199.0,242.386
11754456,165.0,168.676
12284280,140.0,149.569
18897119,60.0,58.094
34481828,199.0,167.53
16382035,190.0,194.499
38103228,102.0,102.894
16417215,47.0,57.272
3666653,170.0,150.648
32990282,80.0,49.739
16649773,100.0,90.351
3944625,99.0,94.142
37528925,67.0,69.391
36425863,129.0,93.433
35487783,119.0,180.254
37563649,115.0,164.95
22785118,125.0,138.015
27526619,159.0,166.176
28692081,65.0,68.638
38725189,99.0,175.68
33746705,60.0,64.325
2178294,140.0,158.048
26440793,100.0,131.024
25817508,85.0,64.431
37017425,299.0,289.655
21722921,60.0,51.488
596448,129.0,155.641
25755215,155.0,136.899
26249499,150.0,92.295
34737337,69.0,82.138
15550900,190.0,177.224
21634979,400.0,238.848
3042553,77.0,122.436
21265363,231.0,177.427
35379267,295.0,215.877
14724181,105.0,81.21
1187643,65.0,81.478
39135425,110.0,77.125
9342019,144.0,166.142
22753775,265.0,201.531
17866302,75.0,79.754
1190223,119.0,118.186
7629972,70.0,86.217
35610591,85.0,76.294
21110408,50.0,70.333
15174230,95.0,80.662
30892407,61.0,85.835
14176286,67.0,62.681
39394198,150.0,162.695
21253486,40.0,69.001
12113015,99.0,176.627
33236793,60.0,65.124
9486229,350.0,259.37
8061409,49.0,68.897
8045552,87.0,99.871
32359401,28.0,46.253
1401826,100.0,132.803
34602589,99.0,93.034
37995552,375.0,314.219
30442790,37.0,40.144
13654760,160.0,197.171
888583,120.0,151.521
1952271,130.0,165.529
26503507,83.0,130.786
32643370,65.0,65.097
28833297,200.0,73.341
14065007,140.0,189.424
30494093,125.0,133.584
37965870,45.0,56.119
32816486,225.0,232.214
28361262,120.0,121.811
30853530,65.0,73.372
25948511,100.0,103.466
39750494,147.0,189.525
8266871,38.0,96.968
29701791,70.0,76.179
38699897,50.0,60.785
26943823,85.0,118.467
18239876,100.0,124.14
19838917,110.0,155.634
24251311,300.0,206.16
21551817,50.0,57.132
29751447,120.0,133.108
12847902,49.0,67.376
30562291,98.0,135.788
18646639,70.0,122.901
20743305,60.0,74.526
24261171,168.0,234.513
9590519,150.0,195.847
4866867,70.0,66.889
106647,135.0,229.767
28617834,250.0,193.801
11767644,85.0,150.56
814616,199.0,203.359
9445789,70.0,103.482
31175623,47.0,57.704
33645301,60.0,52.644
726465,129.0,130.777
30374290,60.0,70.013
33635511,125.0,179.392
224510,230.0,145.093
39272536,55.0,74.712
16300514,149.0,150.963
28278875,75.0,116.383
17255880,75.0,67.653
2551532,176.0,163.405
39717997,159.0,214.994
39646352,107.0,156.418
25047693,89.0,88.301
21491135,65.0,108.463
3469171,142.0,171.769
35275920,75.0,84.576
23495421,60.0,64.126
9016650,175.0,155.52
38689818,120.0,113.989
13248968,125.0,167.647
8321236,60.0,87.113
40003684,55.0,92.837
26668116,110.0,115.486
2669352,425.0,106.121
17904418,160.0,117.65
18444575,150.0,199.923
24131817,130.0,119.784
16534156,100.0,148.691
30744543,120.0,241.56
14366544,179.0,161.553
24871779,137.0,196.109
30173614,65.0,78.141
32492910,55.0,70.379
39414467,115.0,70.186
14822309,65.0,58.373
27937233,215.0,207.23
37055580,95.0,69.278
28149619,102.0,113.872
23746794,200.0,159.118
31362797,50.0,59.967
18489366,165.0,163.444
39229807,59.0,71.678
36657151,75.0,77.995
30651057,130.0,215.819
36963544,99.0,92.766
635114,199.0,195.473
2269104,75.0,66.468
27911463,55.0,60.3
28817364,115.0,95.277
3616003,80.0,100.24
34536285,65.0,63.375
37723923,95.0,73.84
2359340,250.0,158.8
5941782,56.0,50.65
26840133,65.0,60.776
9237147,300.0,308.921
21853347,265.0,206.078
19975538,116.0,179.761
39019515,80.0,123.902
11185885,110.0,131.989
34935198,200.0,168.143
26274490,50.0,63.249
33046682,150.0,119.043
27011736,40.0,38.288
38692200,250.0,180.745
39893728,72.0,59.991
23901526,269.0,247.111
2123079,120.0,102.82
31114246,112.0,68.895
15190958,193.0,193.27
34801761,328.0,269.764
39077465,75.0,60.563
39317014,49.0,75.272
24938183,330.0,262.173
8931635,150.0,138.163
13042752,45.0,72.648
39033506,40.0,69.356
31761417,75.0,118.119
8251228,30.0,38.78
38636779,17.0,18.85
31535692,100.0,139.909
27002850,75.0,75.555
1843674,150.0,107.44
30269942,93.0,166.84
20285397,65.0,160.446
8971258,169.0,241.692
30262760,35.0,30.478
29858941,130.0,143.899
9713045,200.0,306.68
35569130,58.0,66.946
27098774,60.0,51.49
39990640,44.0,79.883
37250526,400.0,273.346
29689253,66.0,56.925
36631070,170.0,213.55
22373272,300.0,241.923
31881815,119.0,221.59
22984650,25.0,82.427
29522531,31.0,57.885
36836717,65.0,56.89
14698446,50.0,78.55
32469620,99.0,81.678
31814773,59.0,74.026
28307159,100.0,109.544
39282134,25.0,25.857
28730167,105.0,157.371
8506013,35.0,65.781
6020237,155.0,133.915
26471867,130.0,127.107
28721018,99.0,63.426
22980907,57.0,128.992
37563932,125.0,136.784
28412831,126.0,92.897
57754,305.0,253.005
21279140,85.0,60.136
24384986,178.0,210.734
22159096,160.0,150.788
26420626,38.0,38.4
33560652,65.0,73.422
36321994,99.0,82.409
29657991,93.0,129.893
34145824,63.0,70.605
39915321,50.0,70.101
29945765,79.0,58.752
2079765,110.0,106.9
30070927,149.0,236.855
14110144,190.0,175.022
24276835,80.0,66.422
35189843,40.0,62.348
33709502,184.0,188.473
27610174,80.0,68.568
36070717,75.0,114.713
33475698,135.0,179.499
39390567,150.0,165.542
33344785,250.0,224.879
35549378,100.0,99.014
39923714,129.0,126.038
35729594,40.0,60.571
29687924,95.0,66.355
16814803,60.0,70.616
24965059,50.0,68.159
31929176,100.0,129.929
32338520,125.0,122.086
30541439,99.0,69.849
37940215,40.0,75.317
33687439,67.0,51.247
34385166,135.0,94.66
28958147,150.0,157.561
27851725,45.0,55.933
20819116,69.0,87.409
29450700,125.0,61.337
28359765,175.0,181.8
32634671,318.0,305.386
38459891,195.0,230.488
31145329,81.0,52.107
