id,actual,pred
26182774,125,94.932
29858389,160,156.286
20155838,60,65.516
29059334,25,37.663
15043534,55,51.713
5697556,155,180.588
29124172,49,67.617
34841457,55,58.618
726465,129,103.291
34341721,61,70.524
28483571,230,192.778
34483432,375,336.069
1041996,50,62.782
4824310,100,132.648
38448105,85,87.922
9806373,140,153.785
32528831,125,95.087
33492175,65,72.004
23839200,49,65.922
38167118,80,84.58
39750494,147,182.106
2071420,199,228.137
30198546,149,132.899
2649068,65,75.722
23191484,75,57.161
30904692,31,54.467
21634979,400,231.473
12220661,60,96.97
30954020,59,63.152
1814279,125,130.746
39867342,206,297.897
635114,199,195.931
767967,105,225.719
24232076,275,238.794
13359647,40,52.021
26356921,99,112.478
30942018,80,82.647
14214403,149,154.226
26518337,180,149.31
20395432,144,160.437
21981845,27,49.594
35829570,116,149.552
38629216,320,192.77
3173148,85,141.716
21878080,150,147.946
31920843,90,103.593
30587740,125,120.788
22108932,70,116.29
24512493,65,61.199
28607761,39,38.534
27755986,114,134.703
19744691,40,74.592
7160363,99,89.229
27528305,285,245.166
32549565,139,167.403
34169778,55,60.639
26063353,250,222.707
19748676,130,183.567
37997451,125,178.42
32725374,31,49.919
30132711,120,143.923
7801262,104,153.8
20958075,131,122.223
37967241,320,273.218
15150240,50,60.551
38640810,250,266.437
15345313,59,59.096
8813306,185,167.08
1209069,80,64.377
8704528,50,62.089
16974,225,299.776
28137157,100,53.238
224510,230,141.307
30438251,47,131.64
11089123,100,106.317
30561958,99,163.749
19569481,250,202.995
25005877,168,155.838
23035859,350,307.918
37877774,75,66.572
596448,129,153.183
296361,55,60.67
40093416,80,109.274
638894,115,146.739
39025380,170,190.768
10812612,245,197.499
30452520,100,71.582
33661537,109,95.86
24085451,100,90.631
38194280,225,234.952
29134543,110,112.637
28438882,40,48.953
33900911,300,206.367
17968140,57,64.311
35961207,125,174.477
27623260,150,171.366
33899850,28,32.703
9370896,140,168.84
28312552,100,169.705
30398373,200,199.755
16315491,97,85.412
16396119,65,119.624
33310325,250,177.968
22076961,132,219.406
30186710,80,76.014
30584054,56,81.435
38495716,70,64.181
9238214,39,60.586
37948584,75,98.932
9547361,130,142.889
37320519,125,71.835
8506757,195,187.008
27927147,50,63.895
38404770,117,161.18
21013499,55,50.794
30628768,36,36.219
32090300,100,88.546
31989484,45,100.232
36695857,130,177.795
31994,76,74.331
26938086,82,83.878
2079765,110,103.872
28833410,275,245.521
22987331,100,57.068
18824754,50,55.227
14178226,215,265.178
21394087,30,49.459
32546497,145,198.49
36103059,42,66.96
35118554,339,244.291
6627752,90,95.327
35615687,350,233.806
6958924,85,222.331
18188958,223,151.605
15620833,185,202.478
7664789,45,58.39
11575101,79,92.72
38359468,55,108.157
31168852,156,238.507
27458304,165,224.781
26639925,26,65.217
72265,59,71.195
16026815,95,82.568
39273445,53,62.146
2151479,117,115.178
12587017,200,200.797
31854564,199,255.72
10267242,149,73.018
2554749,109,246.322
39364709,65,63.346
39465902,60,97.005
30580668,120,112.912
22227610,70,62.922
16683931,100,128.558
39562028,400,368.167
16085436,48,58.017
8013358,240,213.512
21485026,60,58.449
5941782,56,58.084
36914935,54,60.772
40014248,90,109.755
26271688,34,41.159
3129731,147,131.464
30961373,60,82.821
8589444,70,73.322
3616003,80,102.708
25545177,100,60.023
37292550,75,75.536
4593609,150,197.544
36333124,300,244.936
12630337,110,193.353
17879131,429,321.811
35292625,86,96.201
25014162,75,74.712
7456166,147,132.812
28129768,65,65.902
25167654,78,59.655
17509152,70,64.619
37740667,99,119.254
19466277,60,61.707
9075249,50,66.288
37489260,115,114.219
17316757,100,116.268
21972082,40,47.553
17526131,120,136.832
24000797,119,238.052
22017432,170,116.626
33853465,150,151.201
10343320,145,155.245
20156382,89,60.979
38908168,45,50.655
27933916,40,44.289
22064262,150,144.641
30702161,90,64.86
5365190,195,180.791
874683,62,58.945
31193461,80,78.529
20996372,170,224.442
21109039,110,167.996
11695094,140,153.974
24158806,225,82.412
37104409,220,206.722
38436051,260,214.366
31100145,45,42.308
21882745,210,262.091
21125733,125,90.871
23606468,100,100.951
33714297,75,70.291
30999460,104,122.023
4799839,175,130.405
30695144,150,162.947
17625485,130,143.457
24445876,350,169.887
34336417,53,57.228
20916679,165,123.489
39033506,40,67.122
2668311,53,127.856
7679236,350,264.95
39810732,119,98.743
15142578,60,70.686
33798189,59,51.461
39339552,100,94.627
25734716,102,97.678
18427825,80,102.715
5770483,195,238.49
36837763,179,225.315
23042836,104,150.396
4928303,65,57.35
31142743,39,58.288
35545031,95,56.406
8269318,30,40.662
35224560,55,70.183
33709260,299,275.321
36482416,85,75.786
32034639,100,100.236
38546357,125,213.166
38333113,429,339.842
1613110,129,127.041
23509707,60,93.248
6269646,40,62.743
11319227,29,67.594
3469171,142,171.731
30495769,70,145.228
7327782,64,65.736
4227554,195,146.265
35313700,47,66.925
21056691,58,50.899
37316797,225,314.18
34039045,95,109.711
2723515,124,107.382
28436441,200,115.904
5494750,38,46.269
13019053,150,189.238
39234511,238,261.742
1843674,150,110.523
1693028,50,65.03
19744503,60,58.75
39466458,100,71.453
36117652,200,174.2
10156574,230,285.131
34471524,265,262.984
3463385,95,117.428
21981789,88,92.314
794567,82,67.702
30857450,60,53.269
35679813,60,89.325
33387469,350,236.961
37435098,45,48.63
27911463,55,59.14
32161408,148,162.466
33046072,125,155.309
36727969,399,273.507
106647,135,209.713
27132152,275,244.827
16285996,110,101.277
37630778,85,73.448
6507084,100,144.364
6746003,49,52.425
37401684,115,100.364
35512642,250,345.12
29942321,285,170.215
36103306,97,85.502
9750139,90,96.448
22376903,109,112.674
38295791,150,149.195
14646562,180,199.125
18729447,80,62.966
24967765,199,239.583
10038410,199,167.426
28329209,110,136.813
12274909,35,58.651
